stem,detector,bin_name,severity,n_gt,recall
BD_Bing_358,yolo_nano,clear,0.1975142359733581,11,0.6363636363636364
BD_Bing_393,yolo_nano,heavy,0.5418123006820679,8,0.625
BD_Bing_420,yolo_nano,light,0.2927780747413635,13,0.46153846153846156
BD_Bing_423,yolo_nano,heavy,0.5897360444068909,9,0.0
BD_Bing_463,yolo_nano,heavy,0.5396490097045898,2,0.0
BD_Bing_479,yolo_nano,moderate,0.3498769402503967,7,0.2857142857142857
BD_Bing_484,yolo_nano,heavy,0.8008732199668884,38,0.0
BD_Bing_49,yolo_nano,heavy,0.4861881732940674,58,0.1896551724137931
BD_Bing_515,yolo_nano,moderate,0.3799369931221008,5,0.4
BD_Bing_549,yolo_nano,heavy,0.4998869895935058,8,0.0
BD_Bing_606,yolo_nano,heavy,0.5179536938667297,7,0.2857142857142857
BD_Bing_609,yolo_nano,heavy,0.5278170108795166,30,0.43333333333333335
BD_Bing_634,yolo_nano,heavy,0.5755007863044739,21,0.14285714285714285
BD_Bing_643,yolo_nano,light,0.3009315133094787,6,0.0
BD_Bing_655,yolo_nano,light,0.2844858765602112,14,0.35714285714285715
BD_Bing_660,yolo_nano,light,0.3193214535713196,6,0.8333333333333334
BD_Bing_664,yolo_nano,heavy,0.7367657423019409,67,0.0
BD_Bing_695,yolo_nano,heavy,0.5014609098434448,32,0.03125
BD_Bing_732,yolo_nano,heavy,0.6138467788696289,16,0.75
BD_Bing_74,yolo_nano,heavy,0.6175915598869324,10,0.4
BD_Bing_742,yolo_nano,heavy,0.6620008945465088,4,0.5
BD_Bing_763,yolo_nano,light,0.3351045250892639,3,0.6666666666666666
BD_Bing_789,yolo_nano,heavy,0.503319263458252,31,0.12903225806451613
BD_Bing_802,yolo_nano,heavy,0.7150905728340149,12,0.5
BD_Google_00,yolo_nano,heavy,0.5286698341369629,11,0.2727272727272727
BD_Google_054,yolo_nano,heavy,0.5176831483840942,20,0.35
BD_Google_098,yolo_nano,heavy,0.5656632781028748,9,0.6666666666666666
BD_Google_126,yolo_nano,heavy,0.5588792562484741,2,0.0
BD_Google_129,yolo_nano,heavy,0.7249345779418945,1,0.0
BD_Google_249,yolo_nano,heavy,0.616455078125,9,0.5555555555555556
BD_Google_253,yolo_nano,light,0.292350709438324,12,0.25
BD_Google_329,yolo_nano,heavy,0.6691522598266602,3,0.3333333333333333
BD_Google_343,yolo_nano,heavy,0.6004699468612671,52,0.0
BD_Google_357,yolo_nano,light,0.2913688421249389,10,0.1
BD_Google_360,yolo_nano,moderate,0.4184496402740478,26,0.34615384615384615
BD_Google_368,yolo_nano,heavy,0.6510655879974365,12,0.25
BD_Google_372,yolo_nano,moderate,0.380652368068695,1,0.0
BD_Google_378,yolo_nano,heavy,0.611247181892395,25,0.44
BD_Google_380,yolo_nano,light,0.2897673845291137,4,0.25
