stem,filename,relpath,severity,bin,rtdetr_l,yolo_nano,yolov8s,recall_mean,group,median_brightness_score,orange_index_score,channel_spread_score,rms_contrast_score,upper_contrast_score
HF_Bing_60,HF_Bing_60.png,JPEGImages/HF_Bing_60.png,0.2759699523448944,light,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.4074074074074074,intermediate,131.0,7.55560987249099,7.55560987249099,0.25255574290512794,0.2315074349834119
HF_Google_194,HF_Google_194.png,JPEGImages/HF_Google_194.png,0.3222530484199524,light,0.0,0.0,0.3333333333333333,0.1111111111111111,failure,106.0,32.66520183821609,32.66520183821609,0.2582847037064198,0.18808392503668098
HF_Google_337,HF_Google_337.png,JPEGImages/HF_Google_337.png,0.3332157731056213,light,0.5,0.3333333333333333,0.5,0.4444444444444444,intermediate,130.0,1.1317912087912134,1.3862142857142885,0.22005839913824166,0.23755232685402167
HF_Google_559,HF_Google_559.png,JPEGImages/HF_Google_559.png,0.3211514353752136,light,0.1363636363636363,0.0,0.0454545454545454,0.0606060606060605,failure,136.0,6.608833333333337,7.181516666666681,0.3041103113521111,0.3977588481937423
HF_Google_576,HF_Google_576.png,JPEGImages/HF_Google_576.png,0.3381457924842834,light,0.6341463414634146,0.4878048780487805,0.4634146341463415,0.5284552845528455,intermediate,125.0,2.638207407407407,2.768777777777771,0.22481627437587137,0.248988411179617
HazeDr_Bing_418,HazeDr_Bing_418.png,JPEGImages/HazeDr_Bing_418.png,0.1828039437532425,clear,0.0,0.0,0.0,0.0,failure,86.0,33.6885037037037,33.6885037037037,0.16584845579207041,0.07270856229039918
HazeDr_Google_212,HazeDr_Google_212.png,JPEGImages/HazeDr_Google_212.png,0.2592392563819885,clear,0.3333333333333333,0.3333333333333333,0.0,0.2222222222222222,failure,86.0,21.435073278981335,22.80065631345883,0.2130972875139602,0.14407357628477804
HazeDr_Google_213,HazeDr_Google_213.png,JPEGImages/HazeDr_Google_213.png,0.2035639435052871,clear,0.0,0.0,0.0,0.0,failure,100.0,-24.84119455135054,24.84119455135054,0.09498574030097781,0.032099204263553706
HazeDr_Google_630,HazeDr_Google_630.png,JPEGImages/HazeDr_Google_630.png,0.1997561454772949,clear,0.0,0.0,0.0,0.0,failure,189.0,167.8385120967742,167.8385120967742,0.1134180794869473,0.12301594868456919
HazeDr_Google_640,HazeDr_Google_640.png,JPEGImages/HazeDr_Google_640.png,0.1674057096242904,clear,0.0,0.0,0.0,0.0,failure,134.0,81.20751808462967,81.20751808462967,0.06777118081180547,0.0457928822801254
HazeDr_Google_667,HazeDr_Google_667.png,JPEGImages/HazeDr_Google_667.png,0.3346023559570312,light,0.0,0.0,1.0,0.3333333333333333,intermediate,151.0,58.54045177902623,58.54045177902623,0.24042539497178808,0.18568371244965146
HazeDr_Google_809,HazeDr_Google_809.png,JPEGImages/HazeDr_Google_809.png,0.3429153263568878,light,0.5,0.5,0.1666666666666666,0.3888888888888888,intermediate,158.0,6.926525821596243,18.862619816118936,0.13770645043650087,0.06502948350788505
HazeDr_Google_845,HazeDr_Google_845.png,JPEGImages/HazeDr_Google_845.png,0.3490782380104065,light,0.0,0.8,0.8,0.5333333333333333,intermediate,59.0,6.136440972222218,6.136440972222218,0.19456271977648684,0.2185485478799412
HazyDr_Bing_089,HazyDr_Bing_089.png,JPEGImages/HazyDr_Bing_089.png,0.2430982291698455,clear,0.1428571428571428,0.5714285714285714,0.4285714285714285,0.3809523809523809,intermediate,93.0,-33.851159474206355,33.851159474206355,0.13873004825341004,0.15368116207069116
HazyDr_Bing_194,HazyDr_Bing_194.png,JPEGImages/HazyDr_Bing_194.png,0.315177708864212,light,0.0,0.0,0.0,0.0,failure,83.0,-2.659015827812354,2.659015827812354,0.10330157228238251,0.12872602413834125
HazyDr_Bing_228,HazyDr_Bing_228.png,JPEGImages/HazyDr_Bing_228.png,0.2923779189586639,light,0.5,0.4375,0.5,0.4791666666666667,intermediate,98.0,-2.8001913093311686,4.70944579288026,0.20891045221808208,0.1653487935408803
HazyDr_Bing_296,HazyDr_Bing_296.png,JPEGImages/HazyDr_Bing_296.png,0.3217764794826507,light,0.5,0.25,0.5,0.4166666666666667,intermediate,117.0,-8.26852646638055,8.26852646638055,0.2946069595710281,0.2491623157209159
HazyDr_Bing_800,HazyDr_Bing_800.png,JPEGImages/HazyDr_Bing_800.png,0.2859077751636505,light,0.0,0.0,0.0,0.0,failure,146.0,17.06379691633599,17.06379691633599,0.331104161427852,0.3315770824563761
HazyDr_Google_165,HazyDr_Google_165.png,JPEGImages/HazyDr_Google_165.png,0.3344206511974334,light,0.0,1.0,0.0,0.3333333333333333,intermediate,102.0,10.971496212121224,10.971496212121224,0.1334952050811293,0.15144162708069908
HazyDr_Google_185,HazyDr_Google_185.png,JPEGImages/HazyDr_Google_185.png,0.2892000675201416,light,0.3333333333333333,0.3333333333333333,0.0,0.2222222222222222,failure,146.0,32.62868666666667,32.62868666666667,0.2389286007136381,0.13797841125750812
HazyDr_Google_622,HazyDr_Google_622.png,JPEGImages/HazyDr_Google_622.png,0.2629075944423675,light,0.0,0.0,0.0,0.0,failure,76.0,-2.8235131103171653,4.483164680053832,0.17338234201003438,0.1844456070571043
HazyDr_Google_798,HazyDr_Google_798.png,JPEGImages/HazyDr_Google_798.png,0.346516877412796,light,0.0,0.1666666666666666,0.6666666666666666,0.2777777777777777,failure,148.0,2.4412698412698433,3.093467498110357,0.26341660870175326,0.24953434401025676
IRQ_Bing_005,IRQ_Bing_005.png,JPEGImages/IRQ_Bing_005.png,0.201396107673645,clear,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.7619047619047619,clear,136.0,-5.070803956030559,6.122222701966834,0.22247394629022116,0.21403463274340276
IRQ_Bing_017,IRQ_Bing_017.png,JPEGImages/IRQ_Bing_017.png,0.2256149053573608,clear,0.8,0.3,0.0,0.3666666666666667,intermediate,188.0,117.34783433734941,117.34783433734941,0.19881081441203644,0.18474975257433301
IRQ_Bing_018,IRQ_Bing_018.png,JPEGImages/IRQ_Bing_018.png,0.2332534044981002,clear,0.0,0.0,0.2222222222222222,0.074074074074074,failure,119.0,11.776861312382962,11.776861312382962,0.18775193515091693,0.18958087137155613
IRQ_Bing_113,IRQ_Bing_113.png,JPEGImages/IRQ_Bing_113.png,0.1568082273006439,clear,0.0,0.0,0.0,0.0,failure,182.0,126.7716855821774,126.7716855821774,0.14840027071565812,0.14889599362389602
IRQ_Bing_250,IRQ_Bing_250.png,JPEGImages/IRQ_Bing_250.png,0.3499703705310821,light,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1851851851851852,failure,167.0,45.22859604875998,45.22859604875998,0.2536726672375117,0.22260156350096416
IRQ_Bing_257,IRQ_Bing_257.png,JPEGImages/IRQ_Bing_257.png,0.2681461572647095,light,0.0,0.0,0.1428571428571428,0.0476190476190475,failure,136.0,19.444138972809654,19.444138972809654,0.26210586072348396,0.2844174076163492
IRQ_Bing_29,IRQ_Bing_29.png,JPEGImages/IRQ_Bing_29.png,0.3196034729480743,light,0.0,0.0,0.0,0.0,failure,149.0,25.791216475095794,25.791216475095794,0.18605291923831552,0.19209280702923442
IRQ_Bing_399,IRQ_Bing_399.png,JPEGImages/IRQ_Bing_399.png,0.1545537710189819,clear,0.0,0.3333333333333333,0.0,0.1111111111111111,failure,172.0,38.755371601208466,38.755371601208466,0.2630628547708098,0.2789022340463485
IRQ_Bing_674,IRQ_Bing_674.png,JPEGImages/IRQ_Bing_674.png,0.2779366075992584,light,0.3333333333333333,0.2666666666666666,0.5333333333333333,0.3777777777777777,intermediate,109.0,5.109043778801848,5.109043778801848,0.19108265957007323,0.21272931505215983
IRQ_Google_010,IRQ_Google_010.png,JPEGImages/IRQ_Google_010.png,0.2878699600696563,light,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.619047619047619,intermediate,114.0,86.27884802490757,86.27884802490757,0.16027074422809712,0.11565142077274142
IRQ_Google_030,IRQ_Google_030.png,JPEGImages/IRQ_Google_030.png,0.337047278881073,light,0.2,0.4,0.8,0.4666666666666667,intermediate,169.0,66.4517375,66.4517375,0.21843662041320083,0.21971500482528655
IRQ_Google_148,IRQ_Google_148.png,JPEGImages/IRQ_Google_148.png,0.136187344789505,clear,0.0,0.0,0.0,0.0,failure,227.0,190.3244158543578,190.3244158543578,0.06689622138867914,0.03907687754018797
IRQ_Google_464,IRQ_Google_464.png,JPEGImages/IRQ_Google_464.png,0.2777045369148254,light,0.25,0.25,0.5,0.3333333333333333,intermediate,154.0,76.59160341555977,76.59160341555977,0.1352762394073631,0.1386171843649363
IRQ_Google_494,IRQ_Google_494.png,JPEGImages/IRQ_Google_494.png,0.3486529886722564,light,0.2,0.2,0.2,0.2,failure,104.0,4.7881789802289205,4.7881789802289205,0.2751207288321534,0.254327664011213
JL_Bing_225,JL_Bing_225.png,JPEGImages/JL_Bing_225.png,0.2126912027597427,clear,0.25,0.5,0.5,0.4166666666666667,intermediate,95.0,33.017123840909825,33.017123840909825,0.10749541622529603,0.07576125304453128
JL_Bing_674,JL_Bing_674.png,JPEGImages/JL_Bing_674.png,0.3496717512607574,light,0.0,0.0,0.3333333333333333,0.1111111111111111,failure,160.0,9.388056698673978,9.388056698673978,0.28175064116874826,0.2817247811501906
JL_Bing_804,JL_Bing_804.png,JPEGImages/JL_Bing_804.png,0.3417378962039947,light,0.0,0.5,0.5,0.3333333333333333,intermediate,137.0,-15.210242388412652,15.210242388412652,0.15199598181940877,0.06744142764108786
JL_Google_137,JL_Google_137.png,JPEGImages/JL_Google_137.png,0.3388594090938568,light,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,clear,103.0,-3.3145686900958395,3.3145686900958395,0.14001564871650804,0.10484570424528185
JL_Google_152,JL_Google_152.png,JPEGImages/JL_Google_152.png,0.2842863500118255,light,0.5777777777777777,0.0888888888888888,0.3555555555555555,0.3407407407407407,intermediate,109.0,-0.7950216204631744,1.3443137551529816,0.2747249277036617,0.21597467096791848
JL_Google_227,JL_Google_227.png,JPEGImages/JL_Google_227.png,0.3080480396747589,light,1.0,1.0,1.0,1.0,clear,119.0,1.3611668496573657,1.3611668496573657,0.22547166791092021,0.14848654984768106
JL_Google_24,JL_Google_24.png,JPEGImages/JL_Google_24.png,0.2939985692501068,light,0.0,0.0,0.5,0.1666666666666666,failure,117.0,3.0652998236331683,3.0652998236331683,0.19311460017690726,0.15774725669807244
JL_Google_354,JL_Google_354.png,JPEGImages/JL_Google_354.png,0.2568877637386322,clear,0.0,0.0,0.0,0.0,failure,156.0,141.31318902514556,141.31318902514556,0.12206176761383043,0.11255623754003627
JL_Google_641,JL_Google_641.png,JPEGImages/JL_Google_641.png,0.3268578052520752,light,0.0,0.0,0.0,0.0,failure,141.0,23.090972222222206,23.090972222222206,0.16213575796762117,0.16471135075970564
JL_Google_752,JL_Google_752.png,JPEGImages/JL_Google_752.png,0.2515261769294739,clear,0.0,0.0,0.0,0.0,failure,149.0,25.536909722222234,25.536909722222234,0.2806222252124701,0.3041006130076657
JL_Google_753,JL_Google_753.png,JPEGImages/JL_Google_753.png,0.2073561996221542,clear,0.0,0.0,0.0,0.0,failure,103.0,21.86467499999999,21.86467499999999,0.1555218119638856,0.13196622643383135
KRO_Google_079,KRO_Google_079.png,JPEGImages/KRO_Google_079.png,0.3253034651279449,light,1.0,1.0,0.5,0.8333333333333334,clear,84.0,1.6991342592592673,1.6991342592592673,0.16774724840340477,0.10823592595986528
KRO_Google_344,KRO_Google_344.png,JPEGImages/KRO_Google_344.png,0.2477913200855255,clear,0.4,0.4,0.4,0.4000000000000001,intermediate,79.0,13.27884645061728,13.27884645061728,0.27057623244636636,0.27946255560818417
LSJ_Baidu_351,LSJ_Baidu_351.png,JPEGImages/LSJ_Baidu_351.png,0.2912001311779022,light,1.0,1.0,1.0,1.0,clear,91.0,3.789940059940051,3.789940059940051,0.13914181288112867,0.12096956187872984
LSJ_Baidu_670,LSJ_Baidu_670.png,JPEGImages/LSJ_Baidu_670.png,0.1658112108707428,clear,0.0,0.0,0.0,0.0,failure,100.0,1.869200401472071,1.869200401472071,0.21532283508559555,0.23055575220819244
LSJ_Baidu_810,LSJ_Baidu_810.png,JPEGImages/LSJ_Baidu_810.png,0.3157433867454529,light,0.0,0.0,0.0,0.0,failure,91.0,13.707279159519729,13.707279159519729,0.10804890891413176,0.07158247781101806
LSJ_Baidu_905,LSJ_Baidu_905.png,JPEGImages/LSJ_Baidu_905.png,0.2585167586803436,clear,0.0,0.0,0.25,0.0833333333333333,failure,106.0,6.720951754385965,6.720951754385965,0.23806089688505924,0.1620139054725024
LSJ_Baidu_954,LSJ_Baidu_954.png,JPEGImages/LSJ_Baidu_954.png,0.2407703995704651,clear,0.0,0.0,0.5,0.1666666666666666,failure,75.0,2.5190191869046004,14.579408739210166,0.22092488735873486,0.26017200350442143
