stem,filename,relpath,severity,bin,rtdetr_l,yolo_nano,yolov8s,recall_mean,group
DJ_Bing_20,DJ_Bing_20.png,JPEGImages/DJ_Bing_20.png,0.1650956571102142,clear,1.0,1.0,1.0,1.0,clear
DJ_Bing_259,DJ_Bing_259.png,JPEGImages/DJ_Bing_259.png,0.3153683543205261,light,0.0,0.6666666666666666,1.0,0.5555555555555555,intermediate
DJ_Bing_271,DJ_Bing_271.png,JPEGImages/DJ_Bing_271.png,0.3401155769824981,light,0.5,0.625,0.875,0.6666666666666666,intermediate
DJ_Bing_321,DJ_Bing_321.png,JPEGImages/DJ_Bing_321.png,0.3220709264278412,light,0.1956521739130435,0.1304347826086956,0.3695652173913043,0.2318840579710145,failure
FogDr_Bing_019,FogDr_Bing_019.png,JPEGImages/FogDr_Bing_019.png,0.3093918561935425,light,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,intermediate
FogDr_Bing_106,FogDr_Bing_106.png,JPEGImages/FogDr_Bing_106.png,0.3305099010467529,light,0.2,0.2,0.4,0.26666666666666666,failure
FogDr_Bing_237,FogDr_Bing_237.png,JPEGImages/FogDr_Bing_237.png,0.2971040904521942,light,0.3333333333333333,1.0,1.0,0.7777777777777777,clear
FogDr_Bing_367,FogDr_Bing_367.png,JPEGImages/FogDr_Bing_367.png,0.2743326723575592,light,0.5,0.5,0.5,0.5,intermediate
FogDr_Bing_569,FogDr_Bing_569.png,JPEGImages/FogDr_Bing_569.png,0.3350505232810974,light,1.0,1.0,1.0,1.0,clear
FogDr_Google_003,FogDr_Google_003.png,JPEGImages/FogDr_Google_003.png,0.1766959875822067,clear,0.0,0.0,0.0,0.0,failure
FogDr_Google_036,FogDr_Google_036.png,JPEGImages/FogDr_Google_036.png,0.3302476406097412,light,0.0,0.0,0.0,0.0,failure
FogDr_Google_058,FogDr_Google_058.png,JPEGImages/FogDr_Google_058.png,0.3006637394428253,light,0.0,0.1428571428571428,0.0,0.047619047619047596,failure
FogDr_Google_062,FogDr_Google_062.png,JPEGImages/FogDr_Google_062.png,0.3385044038295746,light,0.0,1.0,0.0,0.3333333333333333,intermediate
